id,booking_date,value_date,amount,currency,credit_debit,counterparty_name,counterparty_iban,payment_reference,end_to_end_id,account_id
BT-001,2026-01-05,2026-01-05,4250.00,EUR,CREDIT,Bergmann Verpackungen GmbH,DE72500105176412345678,RE-2026-0001,,werkstein-db-eur
BT-002,2026-01-07,2026-01-07,1890.50,EUR,CREDIT,Nordland Papier AG,DE44200505501098765432,/INV/ RE-2026-0002,,werkstein-db-eur
BT-003,2026-01-08,2026-01-08,7612.80,EUR,CREDIT,Kastner Wellpappe GmbH,AT611904300234567890,Rg. RE-2026-0003 v. 15.12.25,,werkstein-db-eur
BT-004,2026-01-09,2026-01-09,2340.00,EUR,CREDIT,Europrint Solutions B.V.,NL18RABO0300065432,RE-2026-0004,,werkstein-db-eur
BT-005,2026-01-15,2026-01-15,5200.00,EUR,CREDIT,Druckhaus Weber GmbH,DE91300606010012345678,Rg. RE-2026-0010,,werkstein-db-eur
BT-006,2026-01-20,2026-01-20,3175.40,EUR,CREDIT,Scandinavia Pack AB,SE3550000000054910123456,RE-2026-0012,,werkstein-db-eur
BT-007,2026-01-06,2026-01-06,3724.00,EUR,CREDIT,Müller Display GmbH + Co. KG,DE85370502990012345678,"RE-2026-0005 abzgl. Sk. 76,00",,werkstein-db-eur
BT-008,2026-01-10,2026-01-10,12250.00,EUR,CREDIT,Helvetia Packaging AG,CH3908704016075473007,RE-2026-0006 abzgl. 2% Skonto,,werkstein-db-eur
BT-009,2026-01-12,2026-01-12,6860.00,EUR,CREDIT,Bergmann Verpackungen GmbH,DE72500105176412345678,"RE-2026-0007 Sk. 140,00",,werkstein-db-eur
BT-010,2026-01-22,2026-01-22,2940.00,EUR,CREDIT,Nordland Papier AG,DE44200505501098765432,RE-2026-0013 2% Skonto,,werkstein-db-eur
BT-011,2026-01-13,2026-01-13,9450.00,EUR,CREDIT,Bergmann Verpackungen GmbH,DE72500105176412345678,/INV/ RE-2026-0008 / RE-2026-0009 / RE-2026-0014,,werkstein-db-eur
BT-012,2026-01-14,2026-01-14,6720.50,EUR,CREDIT,FABRICA CARTON SA,ES9121000418450200012345,"RE-2026-0015 (3.200,00) / RE-2026-0016 (3.520,50)",,werkstein-db-eur
BT-013,2026-01-16,2026-01-16,4890.00,EUR,CREDIT,Polskie Opakowania Sp. z o.o.,PL61109010140000071219812345,RE-2026-0017 RE-2026-0018 RE-2026-0019,,werkstein-db-eur
BT-014,2026-01-19,2026-01-19,8340.20,EUR,CREDIT,Kastner Wellpappe GmbH,AT611904300234567890,Konto 4521 RE-2026-0020/RE-2026-0021/RE-2026-0022,,werkstein-db-eur
BT-015,2026-01-17,2026-01-17,5670.00,EUR,CREDIT,Europrint Solutions B.V.,NL18RABO0300065432,VARIOUS INVOICES,,werkstein-db-eur
BT-016,2026-01-21,2026-01-21,3200.00,EUR,CREDIT,Polskie Opakowania Sp. z o.o.,PL61109010140000071219812345,SAMMELZAHLUNG JANUAR,,werkstein-db-eur
BT-017,2026-01-23,2026-01-23,4100.00,EUR,CREDIT,FABRICA CARTON SA,ES9121000418450200012345,DIVERSE FAKTUREN,,werkstein-vrb-eur
BT-018,2026-01-24,2026-01-24,2450.00,EUR,CREDIT,MUELLER DISPLAY GMBH + CO. KG,DE85370502990012345678,RE-2026-0026,,werkstein-vrb-eur
BT-019,2026-01-25,2026-01-25,1890.00,EUR,CREDIT,FABRICA CARTON SA,ES9121000418450200012345,RE-2026-0027,,werkstein-vrb-eur
BT-020,2026-01-26,2026-01-26,1750.00,EUR,CREDIT,Druckhaus Weber GmbH,DE91300606010012345678,VORAUSZAHLUNG PROJEKT 4712,,werkstein-vrb-eur
BT-021,2026-01-27,2026-01-27,980.00,EUR,CREDIT,Hartmann Industriebedarf e.K.,DE23100500000012345678,Gutschrift 2026-001,,werkstein-vrb-eur
BT-022,2026-01-28,2026-01-28,5400.00,EUR,CREDIT,Bergmann Packaging Danmark A/S,DK9520000987654321,Proforma PI-2026-0045,,werkstein-vrb-eur
BT-023,2026-01-14,2026-01-14,3000.00,EUR,CREDIT,Müller Display GmbH + Co. KG,DE85370502990012345678,RE-2026-0028 Teilzahlung 1/2,,werkstein-db-eur
BT-024,2026-01-18,2026-01-18,4500.00,EUR,CREDIT,Helvetia Packaging AG,CH3908704016075473007,RE-2026-0029 1. Rate,,werkstein-db-eur
BT-025,2026-01-29,2026-01-29,2100.00,EUR,CREDIT,Nordland Papier AG,DE44200505501098765432,RE-2026-0030 Abschlagszahlung,,werkstein-vrb-eur
BT-026,2026-01-20,2026-01-20,2340.00,EUR,CREDIT,Europrint Solutions B.V.,NL18RABO0300065432,RE-2026-0004,,werkstein-vrb-eur
BT-027,2026-01-22,2026-01-22,5200.00,EUR,CREDIT,Druckhaus Weber GmbH,DE91300606010012345678,Rg. RE-2026-0010,,werkstein-vrb-eur
BT-028,2026-01-15,2026-01-15,3600.00,EUR,CREDIT,Bergmann Packaging Danmark A/S,DK9520000987654321,RE-2026-0031,,werkstein-db-eur
BT-029,2026-01-19,2026-01-19,4780.00,EUR,CREDIT,Kastner Packaging Polska Sp. z o.o.,PL27114020040000300201355387,RE-2026-0032,,werkstein-db-eur
BT-030,2026-01-30,2026-01-30,2780.00,EUR,CREDIT,Polskie Opakowania Sp. z o.o.,PL61109010140000071219812345,RE-2026-0033,,werkstein-vrb-eur
BT-031,2026-01-05,2026-01-05,3450.00,EUR,DEBIT,Stahl & Metall Handel GmbH,DE34500400480012345678,SI-240015,,werkstein-db-eur
BT-032,2026-01-08,2026-01-08,892.40,EUR,DEBIT,Technoglas Industriebedarf GmbH,DE56700202700012345678,SI-240018,,werkstein-db-eur
BT-033,2026-01-10,2026-01-10,156.78,EUR,DEBIT,Büroservice Krause GmbH,DE78660200200012345678,SI-240020,,werkstein-db-eur
BT-034,2026-01-15,2026-01-15,4280.00,EUR,DEBIT,Schmid Werkzeugbau GmbH,DE67600501010012345678,SX-780234,,werkstein-db-eur
BT-035,2026-01-12,2026-01-12,2744.00,EUR,DEBIT,Logistik Express GmbH,DE45370400440012345678,"SI-240022 Sk. 56,00",,werkstein-db-eur
BT-036,2026-01-20,2026-01-20,5782.00,EUR,DEBIT,Stahl & Metall Handel GmbH,DE34500400480012345678,SI-240025 2% Skonto,,werkstein-db-eur
BT-037,2026-01-02,2026-01-02,1245.60,EUR,DEBIT,Rheinland Leasing GmbH & Co. KG,DE91793301110000054321,"LS.0000198/01438/001, LS.0000198/01439/001, LS.0000198/01440/001",,werkstein-vrb-eur
BT-038,2026-01-03,2026-01-03,4890.00,EUR,DEBIT,Energie Südwest AG,DE12660501010012345678,Abschlag Strom Jan/Feb/Mär 2026,,werkstein-vrb-eur
BT-039,2026-01-02,2026-01-02,5720.00,EUR,DEBIT,Grundstücksverwaltung Hofmann GbR,DE29622901100012345678,Miete Januar 2026,,werkstein-vrb-eur
BT-040,2026-01-05,2026-01-05,890.00,EUR,DEBIT,Grundstücksverwaltung Hofmann GbR,DE29622901100012345678,Nebenkosten Q4 2025,,werkstein-vrb-eur
BT-041,2026-01-02,2026-01-02,178.50,EUR,DEBIT,Rheinland Leasing GmbH & Co. KG,DE91793301110000054321,LS.0000199/01550/001,,werkstein-vrb-eur
BT-042,2026-01-02,2026-01-02,273.00,EUR,DEBIT,,,CASH-MANAGEMENT-ABRECHNUNG NR. 45123,,werkstein-db-eur
BT-043,2026-01-02,2026-01-02,5.95,EUR,DEBIT,,,DB-TRANSF. 9992348 PZ82200,,werkstein-db-eur
BT-044,2026-01-02,2026-01-02,70.95,EUR,DEBIT,,,DB-TRANSF. 0162487 PZ82200,,werkstein-db-eur
